sid;transport_mode;Y_pred
2664861;7;1
756833;1;0
737238;4;0
737238;1;0
720980;3;0
720979;4;0
778604;1;0
735249;7;1
730416;1;0
785702;1;0
1589966;1;0
1612666;3;0
1637529;1;0
1561772;1;0
1556643;3;0
318933;3;0
318933;7;0
268574;3;0
268574;4;0
304743;4;0
274518;3;0
274518;4;0
356439;1;0
402531;1;0
357896;3;0
357944;3;0
369196;1;0
377604;3;0
368193;1;0
396244;7;1
393076;7;1
394466;1;0
2935007;7;0
2903019;1;0
109911;4;0
119398;4;0
2674756;3;0
2674756;1;0
2670369;7;1
2248480;7;1
2016417;1;0
3309243;1;0
3334968;4;0
3299794;7;1
213947;1;0
2753767;4;0
2150937;1;0
167766;3;0
154221;4;0
154221;1;0
2708180;4;0
2680452;3;0
1672612;1;0
2323764;3;0
3117638;4;0
665244;4;0
2980575;1;0
1870019;3;0
1852029;4;0
1852029;8;0
918800;3;0
918800;8;0
998456;4;0
1903841;11;0
1903841;1;0
2558740;3;0
2542391;1;0
533092;3;0
1058639;4;0
1596712;4;0
258537;1;0
2135061;4;0
2135061;3;0
1669527;7;1
1462550;4;0
2819458;1;0
2819458;4;0
719220;4;0
2932911;7;0
2895038;11;0
2895038;4;0
2670075;3;0
2715855;4;0
2715862;3;0
756841;7;0
1605864;1;0
1575584;3;0
269714;3;0
2889558;1;0
1843396;7;0
1843396;3;0
495360;3;0
495360;7;1
1556836;3;0
1677208;1;0
332366;7;0
187067;3;0
2587690;4;0
264565;1;0
2574075;1;0
746331;3;0
1575592;3;0
217295;3;0
238429;7;0
1480879;1;0
2604396;1;0
1015431;3;0
3070797;3;0
3070797;7;1
774159;7;0
3138874;1;0
722423;1;1
2903018;3;0
2500237;1;1
2011059;3;0
1174612;6;0
206715;3;0
2772671;3;0
185585;4;0
3107486;1;1
3123166;1;0
1489027;7;1
1489034;1;0
1489031;5;0
1721351;1;0
2410198;6;0
530200;1;0
530198;7;1
3351809;4;0
3039781;1;0
3039781;1;0
1497563;8;0
1495872;4;0
1295664;3;0
1295665;6;0
989228;11;0
1895379;4;0
2223307;3;0
2223307;1;0
585414;8;0
2931354;4;0
2952470;8;0
2952470;7;0
852753;1;0
852753;3;0
1929498;7;0
199228;1;0
1678298;7;1
1597790;4;0
2904651;1;0
127550;6;0
2380312;1;0
2670586;4;0
2275144;1;1
2275144;1;1
221060;11;0
1678220;3;0
3137331;3;0
1506092;7;1
1503509;4;0
2806302;1;1
93316;1;0
2964894;5;1
2972822;1;1
898551;4;0
3092906;4;0
3375190;7;0
791296;4;0
791296;1;0
1570031;4;0
290623;3;0
305675;7;1
2178027;3;0
829114;11;0
1733712;1;0
926688;3;0
580967;1;0
1830015;4;0
409163;1;0
378108;4;0
415669;1;0
2025983;4;0
2025983;1;0
203631;4;0
203631;5;0
3023419;1;0
960931;4;0
2312895;1;0
2312895;7;1
2312896;3;0
3131065;7;0
1460235;1;0
1498169;1;0
1498169;3;0
641405;3;0
825238;3;0
97183;1;0
79788;7;1
1853504;4;0
1881968;7;1
1874523;1;0
482109;4;0
1304452;3;0
3220209;4;0
1535600;3;0
730535;1;0
706339;3;0
706336;7;1
377783;6;0
2938591;3;0
2886226;4;0
2900431;3;0
2525992;4;0
123350;4;0
104731;3;0
211541;4;0
174865;3;0
2845100;5;1
2093512;1;0
2208732;4;0
1628515;3;0
147760;3;0
147760;1;0
535638;6;0
1551043;3;0
295023;3;0
2129234;4;0
1477138;1;0
1849053;4;0
1849053;1;0
708655;1;0
758342;4;0
1583886;7;0
1576984;7;0
1640248;4;0
1640248;3;0
1609755;1;0
1589071;7;0
1589071;3;0
1595919;7;0
2891746;3;0
2891746;6;0
2505656;4;0
134672;4;0
111902;4;0
111902;3;0
118132;3;0
118132;6;0
100444;4;0
100444;1;0
2656474;4;0
2645793;3;0
2645793;4;0
2648041;1;0
2659163;1;1
2011058;4;0
221465;1;0
214105;1;0
2131834;7;0
157152;3;0
184845;6;0
2718963;3;0
3038284;3;0
1665163;1;0
1690776;3;0
1669531;3;0
1651155;7;0
2301761;1;0
3112852;3;0
3126462;3;0
3126460;5;0
3126462;4;0
3126463;1;1
3151810;1;0
1464185;4;0
1464185;3;0
1487627;6;0
665656;3;0
639509;3;0
836678;1;1
805970;1;1
812698;6;0
812698;1;0
88822;4;0
2577311;7;1
2577311;3;0
2585397;1;1
2585397;4;0
2607441;1;0
2600223;4;0
2975105;5;0
2975105;6;0
2955804;6;0
1876179;1;0
1850430;3;0
1734923;4;0
1328227;1;0
1320766;1;0
1070356;8;0
1104402;6;0
478345;4;0
499643;3;0
17108;1;0
17108;8;0
593741;4;0
579191;6;0
579191;3;0
579222;4;0
1003680;4;0
1011887;4;0
2424602;4;0
3074911;7;1
2875233;1;0
2875077;3;0
2847541;4;0
2868209;3;0
2882434;1;0
2882434;1;0
2848584;1;0
2560989;3;0
3170425;7;1
1210993;7;0
1229782;3;0
1229782;9;0
1210993;3;0
549703;7;1
537006;4;0
569077;4;0
876013;10;0
876013;1;0
849827;1;0
1027035;1;0
1028660;7;0
2460977;5;0
2451752;3;0
2429128;9;0
2429128;3;0
2429128;7;1
2441352;8;0
756698;9;0
756698;1;0
756695;9;1
756282;1;1
1583529;3;0
1557247;4;0
1588643;3;0
1588643;7;1
1582800;3;0
286390;3;0
414823;1;1
418920;3;0
418920;11;0
2898230;7;1
2898230;4;0
2898230;3;0
2522165;3;0
124509;1;0
2631453;3;0
2630118;4;0
2263289;3;0
2285908;1;0
2028249;4;0
258270;7;1
258270;7;0
2766015;1;0
2756333;1;0
2774657;4;0
2719069;3;0
2719065;1;1
2696223;4;0
2691305;6;0
3037487;3;0
3024363;1;0
3024360;4;0
3049982;7;1
3049989;11;0
3038342;4;0
1662954;4;0
1662954;7;0
1696991;1;0
943323;2;0
943323;3;0
964981;4;0
935876;3;0
2290816;5;0
3151034;2;0
3136782;7;1
3126466;5;1
3122605;8;0
3124413;6;0
664022;8;0
620557;6;0
815504;4;0
824604;7;1
835073;3;0
2804377;7;0
2804377;1;0
2818399;8;0
83561;5;0
83561;6;0
83562;4;0
52667;1;0
2573390;4;0
2608606;6;0
2575653;11;0
2601137;7;1
2583713;1;0
2961939;8;0
2977895;3;0
2977895;4;0
2966259;1;0
1874290;1;0
1861476;3;0
1838178;9;0
1713467;6;0
1723088;1;0
1723088;4;0
1731719;5;0
1082152;1;1
473310;3;0
480822;1;0
480821;4;0
44951;3;0
1008570;9;1
1897665;3;0
1903993;3;0
2418820;1;0
2418820;3;0
2425699;3;0
679663;8;0
697777;7;1
697777;4;0
696086;1;0
3086636;7;1
3095393;6;0
2844099;2;1
2838235;4;0
2120372;3;0
2112947;4;0
2087276;2;0
2112946;5;0
2087276;3;0
2086449;6;0
2540158;3;0
3193438;5;1
3182306;8;0
1235970;1;0
1235970;10;0
1205148;6;0
563801;1;0
563801;11;0
554835;1;0
550739;3;0
3392512;1;0
3392512;1;0
3375014;7;1
3250915;6;0
866805;1;0
866805;4;0
866805;2;1
848290;3;0
1807482;4;0
1829839;4;0
2445908;8;0
2445908;3;0
1612968;1;0
309386;7;0
2660192;4;0
1458287;7;0
585412;4;0
2418254;4;0
3088877;3;0
2101184;3;0
2101184;1;0
3378965;4;0
875382;8;0
875382;3;0
956029;1;0
492399;1;0
492399;7;1
1794310;7;1
2932910;3;0
953051;11;0
2412889;4;0
2853302;5;1
533810;4;0
2272136;1;0
2573646;4;0
784424;3;0
766579;4;0
738028;7;1
1603819;11;0
1644244;1;0
1557269;3;0
1643980;7;1
1643980;4;0
1643973;1;1
1610235;1;0
1604767;7;1
1566968;1;0
1592145;1;0
1644697;1;0
1592145;6;0
1592145;1;0
1566964;3;0
1625401;3;0
1625401;5;0
1558923;1;0
1583879;4;0
1583879;7;1
1597709;1;0
1597709;4;0
1565816;3;0
1565816;4;0
1604788;7;1
329085;4;0
325177;7;0
325177;1;0
297800;1;0
399495;3;0
410103;3;0
378413;4;0
386815;3;0
378877;4;0
378877;7;1
2927343;1;0
2926358;4;0
2497805;5;1
2511839;3;0
139683;1;0
110082;4;0
1960164;1;1
2667094;4;0
2238984;7;1
2283399;1;0
2245744;4;0
1167220;3;0
2726812;3;0
2713089;1;0
3017991;4;0
3035384;1;1
3112688;1;0
1477337;5;0
79131;1;0
79126;4;0
79131;3;0
71502;4;0
71502;3;0
2600701;3;0
2600701;1;0
2954999;3;0
1872528;4;0
31531;1;1
31531;3;0
610871;1;0
607043;3;0
2880256;7;1
2193806;4;0
3175155;1;1
560666;7;1
3271995;8;0
3266860;5;1
1514427;3;0
725804;4;0
725804;7;0
725804;3;0
740339;4;0
789907;11;0
790649;4;0
782612;3;0
1645895;3;0
1570515;4;0
1566277;7;1
1600776;4;0
1613114;4;0
1618963;5;1
363781;1;0
2896879;4;0
2896882;1;0
